Style,Category,Number,ABV_Low,ABV_High,ABV_Avg,IBU_Low,IBU_High,IBU_Avg,SRM_Low,SRM_High,SRM_Avg,OG_Low,OG_High,OG_Avg,A_degree_P_Avg,FG_Low,FG_High,FG_Avg,"P_Avg",ADF,BU_GU,"Relative_Bitterness",RDF,Year,RE (SG),RE (P),"BU:RE
(°P)","BU:REU
(SG)","BU:FG
(°P)","BU:FGU
(SG)","BU:FG
(SG)",Ingredients
Altbier,Amber Bitter European Beer,07B,4.3,5.5,4.9,25,50,37.5,11,17,14,1.044,1.052,1.048,11.86,1.008,1.014,1.011,2.82,76.24%,0.781,0.808,62.46%,2015,1.018,4.453,8.4,2.12,13.3,3.4,37.1,
Amber Kellerbier,Amber Bitter European Beer,07C,4.8,5.4,5.1,25,40,32.5,7,17,12,1.048,1.054,1.051,12.57,1.012,1.016,1.014,3.58,71.55%,0.637,0.629,58.61%,2015,1.021,5.202,6.2,1.57,9.1,2.3,32.1,
American Amber Ale,Amber and Brown American Beer,19A,4.5,6.2,5.4,25,40,32.5,10,17,13.5,1.045,1.06,1.053,12.92,1.01,1.015,1.013,3.2,75.25%,0.619,0.634,61.64%,2015,1.02,4.955,6.6,1.65,10.2,2.6,32.1,
American Barleywine,Strong American Ale,22C,8,12,10,50,100,75,10,19,14.5,1.08,1.12,1.1,23.55,1.016,1.03,1.023,5.82,75.27%,0.75,0.769,61.66%,2015,1.037,9.027,8.3,2.03,12.9,3.3,73.3,
American Brown Ale,Amber and Brown American Beer,19C,4.3,6.2,5.3,20,30,25,18,35,26.5,1.045,1.06,1.053,12.92,1.01,1.016,1.013,3.32,74.27%,0.476,0.483,60.84%,2015,1.02,5.059,4.9,1.24,7.5,1.9,24.7,
American IPA,IPA,21A,5.5,7.5,6.5,40,70,55,6,14,10,1.056,1.07,1.063,15.35,1.008,1.014,1.011,2.82,81.64%,0.873,0.95,66.88%,2015,1.02,5.084,10.8,2.7,19.5,5,54.4,
American Lager,Standard American Beer,01B,4.2,5.3,4.8,8,18,13,2,4,3,1.04,1.05,1.045,11.15,1.004,1.01,1.007,1.8,83.86%,0.289,0.321,68.70%,2015,1.014,3.491,3.7,0.94,7.2,1.9,12.9,
American Light Lager,Standard American Beer,01A,2.8,4.2,3.5,8,12,10,2,3,2.5,1.028,1.04,1.034,8.52,0.998,1.008,1.003,0.77,90.90%,0.294,0.347,74.47%,2015,1.009,2.174,4.6,1.16,12.9,3.3,10,
American Pale Ale,Pale American Ale,18B,4.5,6.2,5.4,30,50,40,5,10,7.5,1.045,1.06,1.053,12.92,1.01,1.015,1.013,3.2,75.25%,0.762,0.781,61.64%,2015,1.02,4.955,8.1,2.03,12.5,3.2,39.5,
American Porter,American Porter and Stout,20A,4.8,6.5,5.7,25,50,37.5,22,40,31,1.05,1.07,1.06,14.66,1.012,1.018,1.015,3.83,73.89%,0.625,0.632,60.53%,2015,1.023,5.786,6.5,1.62,9.8,2.5,36.9,
American Stout,American Porter and Stout,20B,5,7,6,35,75,55,30,40,35,1.05,1.075,1.063,15.24,1.01,1.022,1.016,4.08,73.23%,0.88,0.884,59.99%,2015,1.024,6.096,9,2.25,13.5,3.4,54.1,
American Strong Ale,Strong American Ale,22B,6.3,10,8.2,50,100,75,7,19,13,1.062,1.09,1.076,18.29,1.014,1.024,1.019,4.83,73.60%,0.987,0.995,60.29%,2015,1.029,7.264,10.3,2.56,15.5,3.9,73.6,
American Wheat Beer,Standard American Beer,01D,4,5.5,4.8,15,30,22.5,3,6,4.5,1.04,1.055,1.048,11.74,1.008,1.013,1.011,2.69,77.09%,0.474,0.494,63.15%,2015,1.017,4.328,5.2,1.31,8.4,2.1,22.3,
Australian Sparkling Ale,Pale Commonwealth Beer,12B,4.5,6,5.3,20,35,27.5,4,7,5.5,1.038,1.05,1.044,10.92,1.004,1.006,1.005,1.29,88.20%,0.625,0.721,72.25%,2015,1.012,3.029,9.1,2.28,21.3,5.5,27.4,
Baltic Porter,Strong European Beer,09C,6.5,9.5,8,20,40,30,17,30,23.5,1.06,1.09,1.075,18.07,1.016,1.024,1.02,5.08,71.90%,0.4,0.396,58.90%,2015,1.03,7.427,4,1,5.9,1.5,29.4,
Belgian Blond Ale,Strong Belgian Ale,25A,6,7.5,6.8,15,30,22.5,4,7,5.5,1.062,1.075,1.069,16.6,1.008,1.018,1.013,3.32,79.98%,0.328,0.352,65.52%,2015,1.023,5.725,3.9,0.98,6.8,1.7,22.2,
