Adjunct,Type,Description,Mashing,Color,PPG
Barley (Pregelatinized Flakes),Barley,"Characteristics & Applications: • Pregelatinized Barley Flakes have been produced specifically for brewing, developing characteristics necessary for easy and efficient use in a brewhouse. The process of gelatinizing makes the starches readily soluble and digestible by the naturally occurring enzymes in barley malt. This allows the flakes to be incorporated directly into the mash with other grains. • Because flakes have a large surface area and are pre-cooked, they hydrate and disintegrate quickly. Filtration time will be normal. • There is no need to mill Barley Flakes. However, they can be put through the mill if that is the easiest means of adding them to the mash. • Use Barley Flakes as an adjunct in all-grain brews to produce a lighter colored finished beer without lowering the original gravity. • Use in place of corn as an adjunct to eliminate corn flavor in the finished beer. • Use at 10-25% of total grist to produce a light colored, mild flavored, dry beer.",Yes,1.7,32.4
Barley Flaked,Barley,"Helps head retention, imparts creamy smoothness. For porters and stouts.",Yes,2.2,31.6
Barley Flakes,Barley,"Mash Ready Barley Flakes will lend a rich, grainy taste and will increase head retention, creaminess, and body. Can be used in amounts of up to 40% of grist total.",Yes,1,32.2
Barley Raw,Barley,"Raw, unmalted barley can be used to add body to your beer. Use in homebrew requires very fine milling combined with a decoction or multi-stage mash. Performs best when used in small quantities with well modified grains.",Yes,2.2,31.6
Belgian Candi Syrup,Sugar,Candi syrup is a by-product of the candi sugar making process. Candi syrup has a more intense flavor and deeper color than rock candi sugar.,No,80,31
Candi Sugar Amber,Sugar,"Smooth taste, good head retention, sweet aroma and high gravity without being apparent. Use in Belgian and holiday ales. Use clear for tripels, amber for dubbels, and dark is used in brown beer and strong golden ales.",No,75,45.8
Candi Sugar Clear,Sugar,"Smooth taste, good head retention, sweet aroma and high gravity without being apparent. Use in Belgian and holiday ales. Use clear for tripels, amber for dubbels, and dark is used in brown beer and strong golden ales.",No,0.5,45.8
Candi Sugar Dark,Sugar,"Smooth taste, good head retention, sweet aroma and high gravity without being apparent. Use in Belgian and holiday ales. Use clear for tripels, amber for dubbels, and dark is used in brown beer and strong golden ales.",No,275,45.8
Corn Flaked (Maize),Corn,"Generally a neutral flavor, used to reduce maltiness of beer. Produces beer with a milder, less malty flavor. Uses: Primarily for light Bohemian and Pilsner lagers.",Yes,0.5,37.6
Corn Flakes,Corn,Mash Ready Corn Flakes will provide depth of character to lighter beers when used in moderate quantities. Can be used in amounts of up to 40% of grist total.,Yes,0.7,38.3
Corn Grits,Corn,Imparts a corn/grain taste. Use in American lagers.,Yes,0.5,36.7
Corn Sugar,Sugar,Use in priming beer or in extract recipes where flaked maize would be used in a mash.,No,0,36.8
Dark Brown Sugar,Sugar,"Imparts rich, sweet flavor. Use in Scottish ales, old ales and holiday beers.",No,60,45.8
Honey,Honey,Imparts sweet and dry taste. For honey and brown ales. Also: specialty ales.,No,0.09,31.9
Invert Sugar,Sugar,Increases alcohol. Use in some Belgian or English ales. Made from sucrose & is 5-10% less fermentable than sucrose. Does not contain dextrins.,No,0,45.8
Lactose,Sugar,Adds sweetness and body. Use in sweet or milk stouts.,No,0,43
Light Brown Sugar,Sugar,"Imparts rich, sweet flavor. Use in Scottish ales, old ales and holiday beers.",No,40,45.8
Lyle's Golden Syrup,Sugar,Increases alcohol without flavor. Liquid invert sugar.,No,0,35.8
Malto Dextrin,Malto Dextrin,Adds body and mouthfeel. For all extract beers. Does not ferment.,No,0,42.8
Maple Syrup,Sugar,"Imparts a dry, woodsy flavor if used in the boil. If beer is bottled with it, it gives it a smooth sweet, maple taste. Use in maple ales, pale ales, brown ales and porters.",No,35,29.9
Millet Raw,Millet,used in traditional beer brewing,Yes,0,36.7
Molasses,Sugar,Imparts strong sweet flavor. Use in stouts and porters.,No,80,35.8
Oat Flakes,Oats,"Steamed, not roasted, Mash Ready Oat Flakes will add a distinct full-bodied flavor and creamy texture. Can be used in amounts of up to 30% of grist total.",Yes,1.5,31.9
Oat Hulls,Oats,"Oat Hulls are used as a filter medium, mostly used in all grain wheat beers to help prevent a stuck mash.",Yes,0,0
