Grain,Origin,Type,Manufacturer ,Must Mash?,"Color Low 
(Lovibond)","Lovibond_High 
(Lovibond)",SRM_Low,SRM_High,Power,Protein Total,Extract FG Min,Potential,% Moisture,Usage Max,Description,Source
Pilsner Malt ,Germany,Base,Avangard,Yes,1.5,1.5,1.2719,1.2719,67 L,10.1,81,1.0374301,4.5,100,"Avangard Malz is the biggest malting company in Germany, and is known for the high quality of their traditional German malts. None of their malts is perhaps more sought after than their pilsner malts, with which some of the finest lagers can be made. Lagers made from this malt have a bright, clean, full-bodied character. Highly-modified, it has been reported that brewers tend to get excellent efficiency out of this malt. It produces beers with a nice light golden color. Avangard pilsner malt can be used in a range of different styles and in any beer that calls for pilsner malt.",http://shop.greatfermentations.com/product/german-pilsner/pale-and-base-malts
Vienna Malt ,Germany,Base,Avangard,Yes,2.8,2.8,3.03288,3.03288,50 L,11.7,82,1.0378922,5.5,90,"Darker than pale malt, Vienna malt is a great base malt that contributes golden colors and biscuity, malty flavors.",
Heidleberg ,Germany,Base,BestMalz,Yes,1.5,1.5,1.2719,1.2719,250 WK,11.5,80.5,1.03719905,4.9,100,"Heidelberg is used especially for brewing beers extremely light in color. It forms an excellent “light” and enzyme-rich foundation for almost all beer styles. Malt characteristics: low protein levels, high extract content, very light color and high enzymatic activity.",http://www.bestmalz.de/en/malts/best-heidelberg/?portfolioCats=28
Melanoidin,Germany,Base,BestMalz,Yes,23,31,30.3958,41.2326,,12,75,1.0346575,4.9,50,Melanoidin contains a particularly large amount of dextrins. It gives the beer a strong flavor and a reddish color. The full-bodied nature of the beer is enhanced. It is produced according to a special kilning process. Without any problems can it be used in percentages of up to 50% despite its strongly coloring impact,http://www.bestmalz.de/en/malts/best-melanoidin/?portfolioCats=28
Melanoidin Light,Germany,Base,BestMalz,Yes,16,23,20.9136,30.3958,,12,75,1.0346575,4.9,70,"Melanoidin Light contains an appreciable amount of dextrins and Maillard products, which emphasize the rich taste and flavor stability of the beer. It gives the beer a fuller flavor and a slightly reddish color. The full-bodied nature of the beer is enhanced. It is produced according to a special kilning process.",http://www.bestmalz.de/en/malts/best-melanoidin-light/?portfolioCats=28
Organic Pilsen Malt,Germany,Base,BestMalz,Yes,1.6,2.3,1.40736,2.35558,250 WK,11.5,80.5,1.03719905,4.9,100,"Organic Pilsen Malt gives beer a fresh and rounded taste. It can be used for all types of light beer. It also forms an excellent “light” and enzyme-rich foundation for almost all beer styles. Malt characteristics: low protein levels, high extract content, light color and high enzymatic activity.",http://www.bestmalz.de/en/malts/best-organic-pilsen-malt/?portfolioCats=28
Pale Ale   ,Germany,Base,BestMalz,Yes,2.3,3.1,2.35558,3.43926,250 WK,11.5,80.5,1.03719905,4.9,100,"Pale Ale deepens the light ”golden” color of top-fermented beers, creating a pleasant flavor. It forms an excellent enzyme-rich foundation for intensive colored beer styles. It is an excellent base malt for brewing many different styles of British pale ale as well as for brewing Kölsch beer.",http://www.bestmalz.de/en/malts/best-pale-ale/
Pilsen ,Germany,Base,BestMalz,Yes,1.7,2.4,1.54282,2.49104,250 WK,11.5,80.5,1.03719905,4.9,100," Pilsen Malt gives beer a fresh and rounded taste. It is used for all types of beers based on basically barley malt. It forms an excellent “light” and enzyme-rich foundation for almost all beer styles. Malt characteristics: low protein levels, high extract content, light color and high enzymatic activity.  Pilsen Malt is also available in organic quality.",
Red X®,Germany,Base,BestMalz,Yes,11,13,14.1406,16.8498,200 WK,12,79,1.0365059,4.9,100,"Red X® has been invented for brewing red-tinted beers. You can use  Red X® for up to 100% of your grain bill - no other malt is required. Offering exceptional reliability and optimal processability,  Red X® can be employed to brew consistently fiery beers with intense reddish hues. Its full-bodied flavor and attractive, unique color coupled with easy handling in the brewery, make  Red X® the  choice for creating a broad range of new beers, such as red-tinted wheat beers.",
Munich Dark,Germany,Color,BestMalz,Yes,8.4,13.7,10.61864,17.79802,250 WK,12,80,1.036968,5,15,"Munich Dark gives a pleasant full-bodied and malty flavor. The impact when using this darker malt is similar to  Munich: the color is even more intensified, the malt aroma is strengthened. Enzyme richness of this malt offers opportunities for brewing strongly colored beers. The production process for this malt is similar to the lighter variant of our  Munich.",http://www.bestmalz.de/en/malts/best-munich-dark/
Munich Malt,Germany,Color,BestMalz,Yes,5,7,6.013,8.7222,>150 WK,12,78,1.0360438,4.5,100," Munich intensifies the color of the beer. It emphasizes the malt aroma of dark beer in an exciting way. It forms an excellent enzyme-rich foundation for all color-intensive beer styles. This malt is produced using a special malting process designed to bring out certain desirable qualities, such as high solubility.",
Caramel Amber,Germany,Crystal,BestMalz,No,23,31,30.3958,41.2326,,12,75,1.0346575,4.5,50,,
Caramel Aromatic,Germany,Crystal,BestMalz,No,16,23,20.9136,30.3958,,12,75,1.0346575,4.5,50,"Caramel Aromatic will impart a distinct, almost exaggerated malt aroma and flavor to red lagers, amber lagers, dark lagers, German bocks and other beer styles, even at a rate as low as 10%.As with all  caramel malts, this malt is of exceptional quality, both due to its excellent processing characteristics and its superior flavor.",http://www.bestmalz.de/en/malts/best-caramel-aromatic/
Caramel Hell,Germany,Crystal,BestMalz,No,8,16,10.0768,20.9136,,12,75,1.0346575,4.5,50,"Caramel Hell – known as  Caramel Light – reinforces the typical “caramely” malt aroma of the beer. It gives the beer a darker color and increases foam stability. In addition, it enhances the full-bodied creamy character of the beer. After the germination is finished, the green malt is gently roasted using a special process. This creates the special caramel aroma. This malt is produced by our specifically developed germination and roasting technique. The malt has a unique honey tasting flavor and impresses with an elegant touch of sweatness. It has excellent processing characteristics. This malt has rich and superior flavors.",http://www.bestmalz.de/en/malts/best-caramel-hell/
Caramel Munich I,Germany,Crystal,BestMalz,No,31,38,41.2326,50.7148,,12,75,1.0346575,4.5,50,"Caramel Pils optimizes the foam properties and the sweet full-bodied character of the beer. The malt character resembles that of  Pilsen Malt. After the germination is finished, the green malt is gently roasted with a special technique developed and optimized over many years by our MALZ malt masters. This process is responsible for our unique MALZ Caramel aromas. As all our Caramel malts, this malt impresses with excellent processing characteristics and with a superior flavor.",
Caramel Munich II,Germany,Crystal,BestMalz,No,42,49,56.1332,65.6154,,12,75,1.0346575,4.5,50,"Caramel Munich II – known as  Caramel Dark – is our mid-range Munich caramel: very “caramely”, adding deep color, increasing foam stability. In addition, it enhances the full-bodied character of the beer with intensive nut flavors. Caramel Munich I to III are produced by using a unique germination and roasting technique. Our malt masters have developed this gentle but yet effective process in order to generate caramel tastes of different variations and degrees. All our  Caramels have unique processing features and are highly comfortable in their use.",
Caramel Munich III,Germany,Crystal,BestMalz,No,50,76,66.97,102.1896,,12,75,1.0346575,4.5,40,"Caramel Munich III (crystal malt) intensifies the beer color and malty aroma of dark caramels and dried fruits. It gives the beer a significantly darker color and increases foam stability. In addition, it enhances the full-bodied character of the beer with flavor of intensive roasted almond. Caramel Munich I to III are produced by using a unique germination and roasting technique. Our malt masters have developed this gentle but yet effective process in order to generate caramel tastes of different variations and degrees. Brew masters love this dark malt for its unique features.",
Caramel Pils,Germany,Crystal,BestMalz,No,1.6,3.1,1.40736,3.43926,,12,75,1.0346575,4.5,50,"Caramel Pils optimizes the foam properties and the sweet full-bodied character of the beer. The malt character resembles that of  Pilsen Malt. After the germination is finished, the green malt is gently roasted with a special technique developed and optimized over many years by our MALZ malt masters. This process is responsible for our unique MALZ Caramel aromas. As all our Caramel malts, this malt impresses with excellent processing characteristics and with a superior flavor.",
Best Black Malt,Germany,Roasted,BestMalz,No,415,450,561.399,608.81,,,65,1.0300365,4.5,5,"Black Malt (roasted malt) gives the beer greater depth of color and adds more intensive nuances of chocolate or coffee aromas. The malt flavor is also emphasized. The malt is produced from green or kiln-dried malt which is roasted using a smooth and gentle technology. While roasting can result in undesirable pyrazine tastes, our MALZ roasting technology applies the heat in a state-of-the-art fashion. Evenly roasted malt kernels with optimal processing features are the outcomes of this advanced and technique fi ne tuned by our experienced malt masters.",
Best Black Malt eXtra,Germany,Roasted,BestMalz,No,490,529,662.994,715.8234,,,65,1.0300365,4.5,5,"Black Malt eXtra (roasted malt) gives the beer extremely deep colors and intensive roasted bread, dark chocolate or coffee notes. The malt flavor is also emphasized. Similar to the somewhat lighter  Black Malt, the eXtra version is also produced from green or kiln-dried malt which is roasted using a smooth and gentle technology. While roasting can result in undesirable pyrazine tastes, our MALZ roasting technology applies the heat in a state-of-the-art fashion. This malt is as black as great malt can be. It will enrich your brew with a wild spectrum of tastes.",
Roasted Barley,Germany,Roasted,BestMalz,Yes,450,530,608.81,717.178,,,,1,5.5,5,"Roasted Barley imparts a characteristic deep dark color to beer. Depending on the amount used in the grainbill, the flavor profile can exhibit intense roasty notes and bitterness reminiscent of black coffee or Italian espresso. The foam stability of the beer is also improved.",http://www.bestmalz.de/en/malts/best-roasted-barley/?portfolioCats=33
Best Chocolate,Germany,Roasted Malt,BestMalz,No,300,380,405.62,513.988,,,75,1.0346575,4.5,10,"Chocolate gives the beer an even darker color – like dark chocolate. It adds fine nuances of chocolate, nut, or coffee aromas. Dosages up to 10 % are possible without any bitter pyrazine flavor. The color of the foam will not be affected but foam stability will be improved. The malt is produced from green or kiln-dried malt in a gentle roasting process.",
