Variety,Origin,Type,Alpha_Acid_LOW,Alpha_Acid_HIGH,Beta_Acid_LOW,Beta_Acid_HIGH,Total_Oil_LOW,Total_Oil_HIGH,Co_Humulone_LOW,Co_Humulone_HIGH,Myrcene_LOW,Myrcene_HIGH,Caryophyllene_LOW,Caryophyllene_HIGH,Humulene_LOW,Humulene_HIGH,Description,Aroma,Beer Styles,Substitutions
Ahtanum®,United States,Aroma,5.7,6.3,5,6.5,0.8,1.2,30,35,50,55,9,12,16,20,"Bred by Select Botanicals Group, Ahtanum® Brand YCR 1 is an aroma-type cultivar used for its aromatic properties and moderate bittering. The hop is named after the location where Charles Carpenter established the first hop farm east of the Cascade Mountains in Washington State in 1869.",citrus grapefruit and geranium.,"India Pale Ale, Pale Ale, Heffeweisen, American Ales, Lagers, Californian Common, Bitters","Cascade, Amarillo®, Simcoe®, Centennial, Willamette"
Amarillo®,United States,Aroma,8,11,6,7,1.5,1.9,21,24,68,70,2,4,9,11,"Discovered and introduced by Virgil Gamache Farms in Washington State, Amarillo® Brand VGXP01 cv. is an aroma variety that has recently become one of the top 10 varieties utilized by the craft beer industry. It features relatively high alpha acids along with extremely high levels of myrcene for citrus and grapefruit flavors. As a result, it is an excellent dual purpose variety. Amarillo demonstrates good resistance to downy and powdery mildew.","grapefruit, orange, lemon, melon, apricot and peach.","American Wheat, American Pale Ale, American IPA, Amber Wheat Beers","Cascade, Centennial, Simcoe"
Aramis,France,Aroma,7.9,8.3,3.8,4.5,1.2,1.6,20,21,39,41,7.3,7.5,20.9,21.1,"Closely resembling Strisselspalt, but with higher oil and alpha content, Aramis is the first variety from the Comptoir Agricole breeding program.","spicy, herbal and subtle citrus. ","Pilsner, Lager, Wheat, Saison, India Pale Ale, Belgian Ales, Pale Ale, Porter","Willamette, Challenger, Ahtanum™, Strisselspalter, Centennial, Chinook, Hallertau, Tettnang"
Aurora,Slovenia,Aroma,7,8.3,2.7,4.4,0.9,1.6,20,26,20,25,6,9,20,25,"A diploid hybrid of Northern Brewer and a TG seedling of unknown origin, Aurora displays an intense yet pleasant aroma in finished beers. It is also known as Super Styrian.",noble characteristics.,"American Pale Ale, Dark Lager","Styrian Golding, Northern Brewer"
Blanc,Germany,Aroma,9,12,4.5,5.5,1.2,1.5,22,26,50,75,0,2,0,3,"Released in 2012, Hallertau Blanc is one of several new German varieties with bold flavor profiles, perfect for American-style Ales.","floral and fruity with passion fruit, grapefruit, pineapple, grape and lemongrass overtones.","American IPAs, American Ales",Nelson Sauvin
Bobek,Slovenia,Aroma,3.5,7,4,6.1,0.7,4,27,31,30,45,4,6,13,19,A world-renowned couplet with moderate bitterness.,intense and pleasant with floral and pine overtones.,"English Ale, Extra Special Bitter, Lager, Pilsner","Fuggle, Willamette, Styrian Golding"
Brewers Gold,Germany,Aroma,5.5,8,2,3.5,1.8,2.2,40,48,37,40,7,8,29,31,"Originally bred in the United Kingdom by professor E.S. Salmon, Brewer's Gold has a high resin content and gives a well-balanced bitterness which is ideally complemented by late hop additions in lager beers.","blackcurrant, fruity, and spicy","Ale, American Pale Ale, Bitter, Barley Wine, Imperial Stout","Bullion, Cascade, Galena, Northern Brewer (US), Northdown"
Cascade,United States,Aroma,5.5,9,6,7.5,0.8,2.5,30,35,45,60,5,9,14,20,"Originating from the USDA-ARA breeding program, Cascade is an aroma-type cultivar bred in 1956 and released in 1972. It was developed by open pollination of a Fuggle seedling. Cascade is the most popular variety in craft brewing and is known for having a unique floral, spicy and citrus character with balanced bittering potential.","Medium intense floral, citrus and grapefruit tones","Pale ale, IPA, porter, barleywine	","Centennial, Amarillo, Columbus        "
Citra®,United States,Aroma,11,15,3,4.5,1.5,3,20,24,60,70,5,8,7,12,"Developed by Hop Breeding Company and released in 2007. Citra® Brand HBC 394 features fairly high alpha acids and total oil contents with a low percentage of co-humulone. It is tolerant to downy mildew and powdery mildew with good pickability of dense, medium sized cones. Comprised of Hallertau Mittelfrüh, US Tettnang, Brewer's Gold and East Kent Golding.","grapefruit, melon, lime, gooseberry, passion fruit and lychee","American Pale Ale, American IPA, Double IPA, Amber Ale","Simcoe, Mosaic"
Crystal,United States,Aroma,2,4.5,4.5,6.5,1,1.5,20,26,45,60,4,8,18,24,"Bred in 1983 by the USDA, Crystal is a triploid aroma-type cultivar from Hallertau Mittelfrüh, Cascade, Brewer's Gold and Early Green. It is primarily grown in Oregon and has become increasingly popular among craft brewers due to its versatility in a variety of beer styles.",woody and green,"Bitter, Pilsner, Light Lager, Golden Ale, Nut Brown Ale, Pale Ale, India Pale Ale, Stout, Chocolate Stout, American Lager","Liberty, Mount Hood, German Hallertau, Ultra, Strisselspalter, Hersbrucker"
