Name,Description
5.2 pH Stabilizer,"Five Star 5.2 pH Stabilizer. A proprietary blend of food-grade phosphate buffers that locks in your mash and kettle water at a pH of 5.2, regardless of the starting pH. It also reduces scaling and mineral deposits on brewing equipment. 1 pound. Use at the rate of 1 tablespoon per 5 gallons of water."
AllFine,"Clarifier. A purified and standardized form of fish collagen, with a small amount of sodium metabisulfite as a preservative. A free-flowing white powder, mixed into solution in a simple mixer, and normally added as beer is transferred from fermenter to storage. Usage is approx .4-1.2 oz. per 10 bbl. for both ales and lagers."
AllFloc,"Enhanced Kappa Carrageenan reduces dosage rates and improves flocculation! For addition to the boiling kettle 15-20 minutes before the end of boil. Usage approx .4 - 1.2 oz. per 10 bbl. AllFloc is prized for its consistency and high potency. Results include improved hot and cold breaks, trub compaction, improved filtration, and some chillproofing."
Allspice,"A spice of a mildly pungent taste, and agreeably aromatic; Jamaica pepper; pimento. It has been supposed to combine the flavor of cinnamon, nutmegs, and cloves; and hence the name."
Amylase enzyme,Aids in converting starches into sugar
Anise (extract),"Contains: Alcohol (70%-80%), Water, Pure Oil of Anise. Liquorice-flavored."
Anise seed,"Anise Seed is a graybrown oval seed from Pimpinella anisum, a plant in the parsley family. It is related to caraway, dill, cumin, and fennel. Anise Seeds smell and taste like licorice."
Anti-Oxidant,"Mostly Sodium Erythorbate, but also contains metabisulfite, which generates S02 as an additional anti-oxidant."
Apricot (extract),"Extract or concentrate of the fruit allied to the plum, Apricot have an orange color and oval shape."
Apricot (preserves),Diced apricots cooked with sugar.
Apricot (pureed),Apricots finely chopped to a jelly like state.
Ascorbic Acid,Decreases oxidation in bottled beer
AYF Yeast Nutrient,"A superbly balanced blend of minerals, proteins, amino acids and vitamins essential to optimize yeast activity during fermentation, notably of high adjunct beers. Usage is approx. .8 - 1.6 oz per 10 bbl. Compare these dosage rates to other products, and you'll switch! Benefits are improved attenuation, increased consistency of fermentation rate and beer flavor."
Belgian Chocolate,Chocolate with a unique velvety rich flavor.
Bitter Curacao/Bitter Orange (Peel),Used in Belgian Wit beers. Add to last 5 minutes of boil.
Black Peppercorns,"Peppercorns are the berries of a tropical vine. They have a warm pungent slightly nutmeg flavour and a hot, biting taste."
Black Treacle,"Treacle is a byproduct of sugar refining, similar to molasses. Black treacle has a slightly burnt flavor that is somewhat stronger than that of molasses."
