Strain, Name,Species,Lab,Fermentation_Temp_Range_LOW,Fermentation_Temp_Range_HIGH,Apparant_Attenuation_Range_LOW,Apparant_Attenuation_Range_HIGH,  Flocculation, Alcohol_Tolerance, Notes, Best Styles,Substitutions
A01,A01 House,Ale,Imperial Yeast,62,70,73,75,High,,"The best of both worlds, House is clean and allows malt and hops to shine. This strain is extremely versatile and flocculent enough to drop out of the beer quickly. House is clean at cold temperatures with increased esters as fermentation temperatures increase.",Best used in American IPAs but works well in English style ales. ,
A04,A04 Barbarian,Ale,Imperial Yeast,62,70,73,74,Medium,,"Ready to attack your IPA, Barbarian produces stone fruit esters that work great when paired with citrus hops. Barbarian will give you what you need for an exceptionally balanced IPA",IPA,
A07,A07 Flagship,Ale,Imperial Yeast,60,72,73,77,Medium-Low,,"A craft brewing standard, Flagship is a versatile strain loved for its extremely clean character. This strain performs well at standard ale temperatures, but can be used in the low 60s to produce exceptionally crisp ales. Flocculation is in the middle of the road and will typically require filtration or fining to achieve crystal clear beers.","Ales, Crystal clear beers",
A09,A09 Pub,Ale,Imperial Yeast,64,70,69,74,Very High,,"Brewers swear by this strain to achieve super bright ales in a short amount of time. One of the most flocculent brewer’s strains around, Pub will rip through fermentation and then drop out of the beer quickly. Pub produces higher levels of esters than most domestic ale strains. Be sure to give beers made with Pub a sufficient diacetyl rest.",,
A10,A10 Darkness,Ale,Imperial Yeast,62,72,71,75,Medium,,"A beautiful strain for stout, porter, brown, and amber ales. Darkness produces a unique character that matches up perfectly with roasted and caramel malts. This strain is alcohol tolerant, so don’t hesitate to throw high gravity worts its way.","Stout, porter, brown and amber ales",
A15,A15 Independence,Ale,Imperial Yeast,60,72,72,76,Medium,,"Independence is the strain for bringing some new character into your hop-driven beers. Higher in esters than Flagship, this yeast will give some fruit character that will take your hoppy beers to a new level. ","While it shines in pale ales and IPAs, Independence is a great all-around strain and will also work well in stouts and English ales.",
A18,A18 Joystick,Ale,Imperial Yeast,60,70,73,77,Medium-High,,This strain is a fast mover and can be used at the low end of the ale fermentation spectrum to keep it clean. ,"Joystick is a good choice for big, high alcohol, malty beers but has no issues chomping on a hoppy double IPA.",
A20,A20 Citrus,Ale,Imperial Yeast,67,80,74,78,Low,,"Citrus cranks out orange and lemon aromas along with some tropical fruit.  Use this strain at high temps for big ester production. A wild saccharomyces strain, it will get a bit funky without the worries of a brettanomyces strain.",,
A24,A24 Dry Hop,Ale,Imperial Yeast,64,74,74,78,Medium,,"Dry Hop is a blend of A20 Citrus and A04 Barbarian.  When this blend goes to work on your hoppy beer, the hop aroma blows up.  The combination of these strains produces amazing aromas of citrus, peach and apricot that will accentuate your IPA, pale ale, and any other hop driven beer","IPA, pale ales and other hop driven beers",
A31,A31 Tartan,Ale,Imperial Yeast,65,70,70,75,Medium,,"Tartan is a traditional strain that accentuates the malt character of Scottish ales.  It can also be used for other styles and works well in IPAs due to its clean character.  For a higher ester profile, use this ale yeast at the top end of the temperature range.","Scotch Ales, IPAs",
A38,A38 Juice,Ale,Imperial Yeast,64,74,72,76,Medium,,"Juicy. Fruity. Juice is an amazing strain for East Coast IPAs. The ester profile of Juice brings out the aromas and flavors of the new school hops and creates a beers  that is greater than the sum of its parts. Keep an eye on this strain, it likes to move to the top of fermentation and will climb out the the fermenter if too full.",East Coast IPAs,
A43,A43 Loki,Ale,Imperial Yeast,60,100,75,85,Medium-High,,"Loki is a traditional Norwegian strain that has an extremely wide fermentation temperature range. This strain has traditionally been used in farmhouse style beers however, due to it’s wide range it can be used in a variety of beers from pseudo lagers to Belgian inspired beers. On the cool end of the range Loki is super clean; producing little to no esters and phenols. As things start to warm up, it tends to produce a huge fruity ester profile","Farmhouse style beer, wild variety of pseudo lagers to Belgian inspired beers",
Abbaye,Abbaye Belgian Ale Yeast,Ale,Danstar,59,68,77,84,Low,15,"Abbaye is an ale yeast of Belgian origin selected for its ability to produce great
Belgian style beers including high gravity beers such as Dubbel, Trippel and Quads.",Belgian,
B44,B44 Whiteout,Ale,Imperial Yeast,62,72,72,76,Medium-Low,,"This is the strain for Belgian Wit style beers. Whiteout produces an excellent balance of spicy phenolic character and esters. Along with the necessary aromatics, this strain produces a significant amount of acidity which is perfect for wits and other light colored Belgian ales. Whiteout can be flocculent during fermentation, then become non-flocculent at the end. This may lead to slower than normal fermentation.",Belgian Wit style beers and other light colored Belgian ales,
